Dataset,Record ID
Striatum_Exon_0209,5083109
UMUTAffyExon_0209_RMA,5083109
UMUTAffyExon_0209_RMA,5205414
UMUTAffyExon_0209_RMA,5227886
UMUTAffyExon_0209_RMA,5228134
Striatum_Exon_0209,5205414
Striatum_Exon_0209,5227886
Striatum_Exon_0209,5228134
HZI_LTCF_0313,A_52_P212334
HZI_PR8M_Q_0612,A_52_P212334
UTK_BXDSpl_VST_0110,ILM104060500
UTHSC_Str_RankInv_1210,ILM104060500
UCLA_BXD_CARTILAGE,ILM104060500
HQFNeoc_0208_RankInv,ILM104060500
HQFNeoc_1210v2_RankInv,ILM104060500
UTHSC_Striatum_RankInv_1210,ILM104060500
UTHSC_ILM_BXD_hipp_NOEb_0216,ILM104060500
UTHSC_ILM_BXD_hipp_RSEb_0216,ILM104060500
UTHSC_ILM_BXD_hipp_RSSb_0216,ILM104060500
UCLA_BXDBXH_CARTILAGE,ILM104060500
UT_ILM_BXD_hipp_5T_1112,ILM104060500
UT_ILM_BXD_hipp_NON_1112,ILM104060500
UTHSC_ILM_BXD_hipp_NOSb_0217,ILM104060500
UT_ILM_BXD_hipp_NON_0909,ILM104060500
UTHSC_ILM_BXD_hipp_NOEb_0217,ILM104060500
UTHSC_ILM_BXD_hipp_RSSb_0217,ILM104060500
UTHSC_ILM_BXD_hipp_RSEb_0217,ILM104060500
UTHSC_1107_RankInv,ILM104060500
UCLA_BXDBXH_CARTILAGE_V2,ILM104060500
HQFNeoc_1210_RankInv,ILM104060500
UT_ILM_BXD_hipp_NOS_1112,ILM104060500
UT_ILM_BXD_hipp_NOE_1112,ILM104060500
B6D2ONCILM_0412,ILM104060500
UT_ILM_BXD_hipp_NOS_0909,ILM104060500
UT_ILM_BXD_hipp_RSS_0909,ILM104060500
UT_ILM_BXD_hipp_RSS_1112,ILM104060500
UT_ILM_BXD_hipp_RSE_1112,ILM104060500
UT_ILM_BXD_hipp_RSE_0909,ILM104060500
UT_ILM_BXD_hipp_NOE_0909,ILM104060500
STJ_PLN_0912,1427602_PM_at
STJ_PLN_0912,1438892_PM_at
VUBXDMouseMidBrainQ0512,A_55_P2271058
UMCG_0907_HemaStem,ILM104060500
UMCG_0907_Eryth,ILM104060500
UMCG_0907_Pro_ori,ILM104060500
UMCG_0907_Pro,ILM104060500
UMCG_0907_Myeloid_ori,ILM104060500
UMCG_0907_Myeloid,ILM104060500
UCLA_BXD_Femur_0113_RSN,ILM104060500
UMCG_0907_HemaStem_ori,ILM104060500
UMCG_0907_Eryth_ori,ILM104060500
UTHSC_BXD_WB_RNASeqEx1112,NM_019662_1
UTHSC_BXD_WB_RNASeqEx1112,NM_019662_2
UTHSC_BXD_WB_RNASeqEx1112,NM_019662_3
UTHSC_BXD_WB_RNASeqEx1112,NM_019662_4
