Dataset,Record ID
DOD-BXD-Ind-PFC-DFP-RNA-Seq-1019,ENSMUSG00000031880
DOD-BXD-Ind-PFC-CD-RNA-Seq-1019,ENSMUSG00000031880
DOD-BXD-Ind-PFC-CTL-RNA-Seq-1019,ENSMUSG00000031880
DOD-BXD-Ind-PFC-CD-RNA-Seq-ComB-1019,ENSMUSG00000031880
DOD-BXD-Ind-PFC-CTL-RNA-Seq-ComB-1019,ENSMUSG00000031880
DOD-BXD-Ind-PFC-DFP-RNA-Seq-ComB-1019,ENSMUSG00000031880
DOD-BXD-Ind-PFC-DFP-RNA-Seq-1019,ENSMUSG00000057722
DOD-BXD-Ind-PFC-CTL-RNA-Seq-1019,ENSMUSG00000057722
DOD-BXD-Ind-PFC-CD-RNA-Seq-1019,ENSMUSG00000057722
DOD-BXD-Ind-PFC-CTL-RNA-Seq-ComB-1019,ENSMUSG00000057722
DOD-BXD-Ind-PFC-DFP-RNA-Seq-ComB-1019,ENSMUSG00000057722
DOD-BXD-Ind-PFC-CD-RNA-Seq-ComB-1019,ENSMUSG00000057722
