, 10478391_UTHSC_GutExL_0414, ILM4810239_UMCG_0907_Myeloid, 17680_BXD, ILM104060500_UT_ILM_BXD_hipp_NON_1112, 10506315_UTHSC_GutExL_0414
BXD1,,,,,
BXD2,,,,,
BXD5,,,,,
BXD6,,,,,
BXD8,,,,,
BXD9,,,,,
BXD11,12.0255,6.98,,,7.589
BXD12,11.6795,6.998,,,7.9225
BXD13,,7.28,,,
BXD14,11.875,7.205,,,7.8185
BXD15,,,,,
BXD16,,6.92,,,
BXD18,,6.895,,,
BXD19,,6.991,,,
BXD20,,,,,
BXD21,,6.738,,,
BXD22,,,,,
BXD23,,7.046,,,
BXD24,11.9005,6.952,,,7.2535
BXD24a,,,,,
BXD25,,,,,
BXD27,11.83,7.082,,,8.0605
BXD28,,6.972,,,
BXD29,11.8945,7.066,,,7.916
BXD30,,,,,
BXD31,11.5515,6.821,,,7.3345
BXD32,11.9255,6.998,,,7.956
BXD33,,6.91,,,
BXD34,11.6237,7.292,,7.657,7.204
BXD35,,,,,
BXD36,,7.083,,,
BXD37,,,,,
BXD38,,,,,
BXD39,11.5135,,,,7.034
BXD40,11.822,6.985,,,7.635
BXD41,,,,,
BXD42,11.5865,7.025,,,7.4425
BXD43,11.8107,,,7.919,7.869
BXD44,11.9208,,0.509218,7.833,7.4608
BXD45,11.7125,,0.516946,8.07,7.945
BXD48,12.0555,,0.199522,,7.9
BXD48a,,,,,
BXD49,11.825,,0.200073,,7.669
BXD50,12.0315,,0.417552,,7.756
BXD51,,,0.47326,7.819,
BXD52,,,,,
BXD53,,,,,
BXD54,,,,,
BXD55,,,0.058419,7.763,
BXD56,11.9167,,0.234237,8.11,8.37967
BXD59,,,,,
BXD60,12.001,,,7.957,7.7235
BXD61,,6.944,1.380758,7.715,
BXD62,12.0005,,0.359646,,7.8375
BXD63,11.961,,0.319453,,7.945
BXD64,,,0.032795,,
BXD65,11.879,,1.152416,7.882,7.8185
BXD65a,,,,,
BXD65b,,,,,
BXD66,,,0.802079,8.046,
BXD67,,,,,
BXD68,11.858,,1.751466,7.99,8.17
BXD69,11.611,,0.364353,7.854,7.295
BXD70,12.042,,0.134216,7.849,8.542
BXD71,11.7595,,0.724346,8.101,7.485
BXD72,,,,,
BXD73,11.531,,0.016643,7.759,7.1385
BXD73a,,,,,
BXD73b,,,,,
BXD74,,,,,
BXD75,11.9215,,0.725292,7.918,7.589
BXD76,,,,,
BXD77,,,,,
BXD78,,,,,
BXD79,12.0145,,0.064247,7.76,8.39
BXD81,,,0.689704,,
BXD83,11.9505,,0.86271,7.723,7.5675
BXD84,11.97,,0.510297,7.996,7.737
BXD85,11.918,,0.426577,7.827,7.74
BXD86,,,,8.003,
BXD87,11.9615,,0.229176,7.795,7.966
BXD88,,,,,
BXD89,12.018,,0.27407,,7.9655
BXD90,12.134,,0.28246,,7.8405
BXD91,,,,,
BXD93,,,,,
BXD94,,,,,
BXD95,11.9177,,,,7.83867
BXD98,,,0.312063,7.817,
BXD99,11.8465,,0.20406,,6.949
BXD100,11.9545,6.915,0.50022,7.949,7.644
BXD101,11.9405,,0.041461,7.857,8.0535
BXD102,11.95,,,,8.02
BXD104,,,,,
BXD105,,,,,
BXD106,,,,,
BXD107,,,,,
BXD108,,,,,
BXD109,,,,,
