marker,LOD,trait
rs30719160,3.7813294481520634,Rasrelated associated with diabetes UTVGXHEL1014
rs31471077,3.2828915493544257,Rasrelated associated with diabetes UTVGXHEL1014
rs30675648,3.2828915493544257,Rasrelated associated with diabetes UTVGXHEL1014
rs32180662,3.2828915493544257,Rasrelated associated with diabetes UTVGXHEL1014
rs30680977,3.128988275530571,Rasrelated associated with diabetes UTVGXHEL1014
rs32807094,3.128988275530571,Rasrelated associated with diabetes UTVGXHEL1014
rs30637341,3.128988275530571,Rasrelated associated with diabetes UTVGXHEL1014
rs30698282,4.090077877480809,Rasrelated associated with diabetes UTVGXHEL1014
rs3723088,4.090077877480809,Rasrelated associated with diabetes UTVGXHEL1014
rs3663708,5.168187577823694,Rasrelated associated with diabetes UTVGXHEL1014
rs31007558,5.168187577823694,Rasrelated associated with diabetes UTVGXHEL1014
rs30727085,5.168187577823694,Rasrelated associated with diabetes UTVGXHEL1014
rs48015801,6.981899251783874,Rasrelated associated with diabetes UTVGXHEL1014
rs230640887,6.259396281212326,Rasrelated associated with diabetes UTVGXHEL1014
rs237885247,6.2083114638986805,Rasrelated associated with diabetes UTVGXHEL1014
rs48962291,6.025593986817134,Rasrelated associated with diabetes UTVGXHEL1014
rs213804272,6.248219692139745,Rasrelated associated with diabetes UTVGXHEL1014
rs47085630,6.248219692139745,Rasrelated associated with diabetes UTVGXHEL1014
rs49565748,6.248219692139745,Rasrelated associated with diabetes UTVGXHEL1014
rs30561273,6.223844624094904,Rasrelated associated with diabetes UTVGXHEL1014
rs30785490,6.223844624094904,Rasrelated associated with diabetes UTVGXHEL1014
rs32612920,5.682436333308606,Rasrelated associated with diabetes UTVGXHEL1014
rs31573665,5.682436333308606,Rasrelated associated with diabetes UTVGXHEL1014
rs32101230,5.110131703947422,Rasrelated associated with diabetes UTVGXHEL1014
rs49892902,6.641103296851139,Rasrelated associated with diabetes UTVGXHEL1014
rs8256197,6.641103296851139,Rasrelated associated with diabetes UTVGXHEL1014
rs13459051,7.0032379636645725,Rasrelated associated with diabetes UTVGXHEL1014
rs32335588,6.016936623401272,Rasrelated associated with diabetes UTVGXHEL1014
rs32112067,6.016936623401272,Rasrelated associated with diabetes UTVGXHEL1014
rs108035116,6.064207297754667,Rasrelated associated with diabetes UTVGXHEL1014
rs6250833,6.028869469807009,Rasrelated associated with diabetes UTVGXHEL1014
rs37505705,6.479400157599727,Rasrelated associated with diabetes UTVGXHEL1014
rs31762723,6.462143604403896,Rasrelated associated with diabetes UTVGXHEL1014
rs30763126,5.99231650992526,Rasrelated associated with diabetes UTVGXHEL1014
rs33494411,5.99231650992526,Rasrelated associated with diabetes UTVGXHEL1014
rs30766381,5.634483210112396,Rasrelated associated with diabetes UTVGXHEL1014
rs32452440,5.634483210112396,Rasrelated associated with diabetes UTVGXHEL1014
rs37131139,5.737497285148413,Rasrelated associated with diabetes UTVGXHEL1014
rs13476119,6.358649961605983,Rasrelated associated with diabetes UTVGXHEL1014
rs49289788,6.400507046456596,Rasrelated associated with diabetes UTVGXHEL1014
rs36548506,6.416573131177572,Rasrelated associated with diabetes UTVGXHEL1014
rs37895110,6.3569974644538645,Rasrelated associated with diabetes UTVGXHEL1014
rs3691222,6.3569974644538645,Rasrelated associated with diabetes UTVGXHEL1014
rs33589350,6.3569974644538645,Rasrelated associated with diabetes UTVGXHEL1014
rs33586240,7.217203865894711,Rasrelated associated with diabetes UTVGXHEL1014
rs6406033,6.662420582603738,Rasrelated associated with diabetes UTVGXHEL1014
rs46445754,6.591093698260762,Rasrelated associated with diabetes UTVGXHEL1014
rs31534627,6.573944437877128,Rasrelated associated with diabetes UTVGXHEL1014
rs215571652,6.561281086249132,Rasrelated associated with diabetes UTVGXHEL1014
rs13476137,6.598626343495638,Rasrelated associated with diabetes UTVGXHEL1014
rs33299937,2.839614044906729,Rasrelated associated with diabetes UTVGXHEL1014
rs13476332,2.839614044906729,Rasrelated associated with diabetes UTVGXHEL1014
rs13476335,2.4305409720076683,Rasrelated associated with diabetes UTVGXHEL1014
rs13476526,2.551605069828734,Rasrelated associated with diabetes UTVGXHEL1014
rs31737774,2.3668917476813864,Rasrelated associated with diabetes UTVGXHEL1014
rs6363066,2.5276467326641616,Rasrelated associated with diabetes UTVGXHEL1014
UNC5348732,2.9548450651602067,Rasrelated associated with diabetes UTVGXHEL1014
rs6301139,2.4960992134930065,Rasrelated associated with diabetes UTVGXHEL1014
rs30401146,2.521639640689865,Rasrelated associated with diabetes UTVGXHEL1014
rs30810079,2.3065057688087305,Rasrelated associated with diabetes UTVGXHEL1014
rs30886554,3.408748721396993,Rasrelated associated with diabetes UTVGXHEL1014
rs6251307,3.367636307942516,Rasrelated associated with diabetes UTVGXHEL1014
rs31482508,3.367636307942516,Rasrelated associated with diabetes UTVGXHEL1014
rs31239141,2.998857552153502,Rasrelated associated with diabetes UTVGXHEL1014
rs51669923,2.998857552153502,Rasrelated associated with diabetes UTVGXHEL1014
rs31229055,2.459225218922524,Rasrelated associated with diabetes UTVGXHEL1014
rs31497298,2.459225218922524,Rasrelated associated with diabetes UTVGXHEL1014
rs3674751,2.459225218922524,Rasrelated associated with diabetes UTVGXHEL1014
rs30357888,2.4619698802272154,Rasrelated associated with diabetes UTVGXHEL1014
rs30843932,2.459225218922524,Rasrelated associated with diabetes UTVGXHEL1014
rs30887094,2.4619698802272154,Rasrelated associated with diabetes UTVGXHEL1014
rs30890056,2.4619698802272154,Rasrelated associated with diabetes UTVGXHEL1014
rs47191211,2.8669556670301497,Rasrelated associated with diabetes UTVGXHEL1014
rs30546833,2.8669556670301497,Rasrelated associated with diabetes UTVGXHEL1014
rs3674810,3.410410795105667,Rasrelated associated with diabetes UTVGXHEL1014
rs30973557,3.397696018594274,Rasrelated associated with diabetes UTVGXHEL1014
rs30711071,3.397696018594274,Rasrelated associated with diabetes UTVGXHEL1014
rs31291384,3.397696018594274,Rasrelated associated with diabetes UTVGXHEL1014
rs51960873,3.3655570126060117,Rasrelated associated with diabetes UTVGXHEL1014
rs31015524,3.424981289749552,Rasrelated associated with diabetes UTVGXHEL1014
rs31426069,3.424981289749552,Rasrelated associated with diabetes UTVGXHEL1014
rs48944333,3.424981289749552,Rasrelated associated with diabetes UTVGXHEL1014
rs51358767,2.783610357935115,Rasrelated associated with diabetes UTVGXHEL1014
rs31384807,2.783610357935115,Rasrelated associated with diabetes UTVGXHEL1014
rs6351657,2.783610357935115,Rasrelated associated with diabetes UTVGXHEL1014
rs51936870,3.210370597079615,Rasrelated associated with diabetes UTVGXHEL1014
rs31366999,3.2049586199986893,Rasrelated associated with diabetes UTVGXHEL1014
rs47205918,3.5874270853232035,Rasrelated associated with diabetes UTVGXHEL1014
rs49752901,3.5834252628438072,Rasrelated associated with diabetes UTVGXHEL1014
rs33861236,2.738636169198025,Rasrelated associated with diabetes UTVGXHEL1014
rs220027832,2.738636169198025,Rasrelated associated with diabetes UTVGXHEL1014
rs3699123,3.4323921173133565,Rasrelated associated with diabetes UTVGXHEL1014
rs48679643,3.982539894783456,Rasrelated associated with diabetes UTVGXHEL1014
